Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
106		4:30:30 a. m.	21.5		0	714	20	1130	0	68	0	0	2437	0	196	307	77	2175
107		5:00:30 a. m.	22		0	992	1707	128	0	583	0	0	3277	52	417	587	1813	1477
108		5:30:30 a. m.	22.5		0	869	489	0	0	1537	0	0	1211	658	0	391	1087	1270
109		6:00:30 a. m.	23		0	27	0	205	0	0	0	0	25	14	0	8	327	1353
110		6:30:30 a. m.	23.5		0	0	18	0	0	0	0	0	216	0	0	0	2237	1005
111		7:00:30 a. m.	0		0	0	9	446	0	406	0	0	24	1282	32	325	3401	1922
112		7:30:30 a. m.	0.5		0	0	230	9	1	96	0	0	59	0	0	0	87	766
113		8:00:30 a. m.	1		0	1120	0	19	0	177	0	0	79	0	47	220	333	970
114		8:30:30 a. m.	1.5		0	782	28	0	0	1400	0	0	2497	0	556	241	0	814
115		9:00:30 a. m.	2		0	0	0	9	0	246	0	0	2338	0	446	9	0	1111
116		9:30:30 a. m.	2.5		0	0	163	19	0	1925	0	0	0	324	0	0	49	1062
117		10:00:30 a. m.	3		0	166	0	1462	0	641	0	0	286	1209	0	0	57	509
118		10:30:30 a. m.	3.5		0	0	0	462	0	319	0	0	49	2669	0	0	47	381
119		11:00:30 a. m.	4		0	967	0	0	1	533	0	0	0	276	0	547	0	1927
120		11:30:30 a. m.	4.5		0	708	0	9	1	98	0	0	0	0	0	232	10	385
121		12:00:30 p. m.	5		0	19	0	0	0	141	0	0	24	0	0	0	30	279
122		12:30:30 p. m.	5.5		0	38	0	9	0	114	0	0	0	0	0	0	29	559
123		1:00:30 p. m.	6		0	9	0	0	0	145	0	0	33	77	0	0	33	1430
124		1:30:30 p. m.	6.5		0	28	0	9	0	72	0	0	0	0	187	143	9	287
125		2:00:30 p. m.	7		0	18	0	0	0	644	0	0	102	0	0	8	382	672
126		2:30:30 p. m.	7.5		0	479	0	0	0	248	0	0	12	45	0	0	20	555
127		3:00:30 p. m.	8		0	37	0	0	0	56	0	0	1555	159	0	76	48	1215
128		3:30:30 p. m.	8.5		0	37	9	0	0	230	0	0	1603	0	72	0	25	1102
129		4:00:30 p. m.	9		0	381	0	0	0	46	0	0	0	0	0	0	1357	261
130		4:30:30 p. m.	9.5		0	85	0	0	0	277	0	0	0	0	8	0	24	813
131		5:00:30 p. m.	10		0	0	0	235	0	640	0	0	0	87	29	344	10	1665
132		5:30:30 p. m.	10.5		0	104	535	1081	0	825	0	0	805	371	205	230	1434	1253
133		6:00:30 p. m.	11		0	0	0	0	0	291	0	0	128	0	336	0	612	490
